risk_of_physical_damage: warning | object_inpath:true | object_distance: 8 | normal_frame: 0.0 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: warning | altitude: 12.0 | battery_level: 40.0 | object_inpath:true | object_distance: 3 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [12.0],slot:altitude,values: [12.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage and lost connection! The drone has low battery. It's flying at an altitude of 12m. The drone is 4836m away from the remote control.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: informative | object_distance: 2 | object_name: tree 3   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [tree 3],slot:object_name,values: [tree 3] || Risk of physical damage! There's a tree only 2m away. 
risk_of_physical_damage: informative | going_backwards: 1.0   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [1.0],slot:going_backwards,values: [1.0]|| Risk of physical damage! The drone is flying backwards. 
risk_of_physical_damage: warning | object_distance: 0.5 | altitude: 1.0 | battery_level: 40.0 | normal_frame: 0.0 | object_distance: 0.5 | risk_of_human_damage: 1.0 | object_type: Human | object_name: speed boat   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [1.0],slot:risk_of_human_damage,values: [1.0]| act:INFORM,canonical_values: [Human],slot:object_type,values: [Human]| act:INFORM,canonical_values: [speed boat],slot:object_name,values: [speed boat]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 1m.     Risk of physical and human damage! There's a speedboat and a person on the speedboat only .5m away. 
risk_of_physical_damage: informative | object_distance: 1.5 | object_name: bridge in a building   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [1.5],slot:object_distance,values: [1.5]| act:INFORM,canonical_values: [bridge in a building],slot:object_name,values: [bridge in a building] || Risk of Physical Damage! There's a wall in the drone's path at a distance of 5m. There's also a bridge only 1.5m away. 
risk_of_physical_damage: warning | object_distance: 1 | pilot_experienced: 0.0 | object_distance: 1 | object_inpath:true | object_distance: 1 | object_name: fence   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [fence],slot:object_name,values: [fence] || Risk of physical damage! There's a fence in the drone's flight path at a distance of Xm. There's also cargo in the drone's flight path at a distance of 6m. 
risk_of_physical_damage: informative | altitude: 5.0 | battery_level: 30.0 | object_distance: 2 | object_inpath:true | object_distance: 8 | object_name: dustbin   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [dustbin],slot:object_name,values: [dustbin]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 5m.     Risk of physical damage! There's a dustbin only 2m away. There's also a table set in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: warning | altitude: 2.0 | battery_level: 20.0 | normal_frame: 0.0 | object_distance: 1 | object_name: pavilion   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2.0],slot:altitude,values: [2.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [pavilion],slot:object_name,values: [pavilion]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 2m.     Risk of physical damage! There's a pavilion only 1m away. 
risk_of_physical_damage: advisory | altitude: 2.0 | battery_level: 30.0 | object_inpath:true | object_distance: 7 | object_name: tree 3   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [2.0],slot:altitude,values: [2.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [7],slot:object_distance,values: [7]| act:INFORM,canonical_values: [tree 3],slot:object_name,values: [tree 3]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 2m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 7m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | altitude: 7.0 | battery_level: 20.0 | object_name: cargo 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [7.0],slot:altitude,values: [7.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [cargo 1],slot:object_name,values: [cargo 1]|| Risk of physical damage! The drone's battery is low and its altitude is 7m.     Risk of physical damage! The drone is flying toward cargo in its path from a 5m distance. 
risk_of_physical_damage: informative | object_distance: 1.5 | object_name: wall   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [1.5],slot:object_distance,values: [1.5]| act:INFORM,canonical_values: [wall],slot:object_name,values: [wall] || Risk of physical damage! There's a wall only 1.5m away. 
risk_of_physical_damage: warning | altitude: 1.0 | battery_level: 30.0 | normal_frame: 0.0 | object_inpath:true | object_distance: 8 | object_name: tree 3   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [tree 3],slot:object_name,values: [tree 3]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 1m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | altitude: 2.0 | battery_level: 0.0 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [2.0],slot:altitude,values: [2.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has an empty battery. It's flying at an altitude of 2m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | altitude: 2.0 | battery_level: 20.0 | normal_frame: 0.0 | temperature: 9.0 | battery_level: 20.0 | object_name: statue 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [2.0],slot:altitude,values: [2.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [9.0],slot:temperature,values: [9.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [statue 1],slot:object_name,values: [statue 1]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 2m in a low-temperature setting.     Risk of physical damage! There are 2 statures in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 8 | normal_frame: 0.0 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 8m. 
lost_connection: 1.0 | distance_from_remote_control: 4882.0 | battery_level: 0.0 | risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | altitude: 3.0 | battery_level: 0.0 | object_name: fence   |   act:INFORM,canonical_values: [1.0],slot:lost_connection,values: [1.0]| act:INFORM,canonical_values: [4882.0],slot:distance_from_remote_control,values: [4882.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [3.0],slot:altitude,values: [3.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [fence],slot:object_name,values: [fence]|| Risk of physical damage and lost connection! The drone is flying backwards at an altitude of 3m. It's also 4882m away from the remote control.     Risk of physical damage! There's a fence in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | object_distance: 0.5 | pilot_experienced: False | object_distance: 0.5 | altitude: 1.0 | battery_level: 30.0 | normal_frame: False | object_name: steel tower 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [0.5],slot:object_distance,values: [0.5]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [steel tower 1],slot:object_name,values: [steel tower 1]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 1m.     Risk of physical damage! There's a steel tower only .5m away. 
risk_of_physical_damage: warning | altitude: 5.0 | battery_level: 20.0 | normal_frame: 0.0 | object_inpath:true | object_distance: 3   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 5m.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: warning | altitude: 50.0 | battery_level: 20.0 | normal_frame: 0.0 | wind_speed: 15.0 | battery_level: 20.0 | object_distance: 1 | pilot_experienced: 0.0 | object_distance: 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [50.0],slot:altitude,values: [50.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [15.0],slot:wind_speed,values: [15.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 50m in strong wind.     Risk of physical damage! There's a building only 1m away. 
risk_of_physical_damage: warning | altitude: 60.0 | battery_level: 10.0 | object_distance: 2 | pilot_experienced: False | object_distance: 2 | object_distance: 2 | object_moving, values = true | object_name: Bird2   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [60.0],slot:altitude,values: [60.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [true],slot:object_moving,values: [true]| act:INFORM,canonical_values: [Bird2],slot:object_name,values: [Bird2]|| Risk of physical damage! The drone has empty battery. It's flying at an altitude of 60m.     Risk of physical damage! There's a moving bird only 2m away. 
lost_connection: 1.0 | distance_from_remote_control: 4191.0 | battery_level: 20.0 | risk_of_physical_damage: informative | altitude: 3.0 | battery_level: 20.0 | object_inpath:true | object_distance: 7 | object_name: tree 3   |   act:INFORM,canonical_values: [1.0],slot:lost_connection,values: [1.0]| act:INFORM,canonical_values: [4191.0],slot:distance_from_remote_control,values: [4191.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [3.0],slot:altitude,values: [3.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [7],slot:object_distance,values: [7]| act:INFORM,canonical_values: [tree 3],slot:object_name,values: [tree 3]|| Risk of physical damage and Lost Connection! The drone has low battery. It's flying at an altitude of 3m. The drone is 4191m away from the remote control.     Risk of physical damage! There's a tree in the drone's flight path at a distance of 7m. 
risk_of_physical_damage: warning | object_distance: 2 | object_inpath:true | object_distance: 2 | indoor: 1.0 | altitude: 8.0 | battery_level: 10.0 | normal_frame: 0.0 | object_name: fence   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [1.0],slot:indoor,values: [1.0]| act:INFORM,canonical_values: [8.0],slot:altitude,values: [8.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [fence],slot:object_name,values: [fence]|| Risk of Physical Damage! The drone has a damaged frame and empty battery. The drone is also flying indoors and at an altitude of 8m.     Risk of Physical Damage! There's a railing in the drone's flight path at a distance of 2m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 3 | indoor: True | altitude: 1.0 | battery_level: 40.0 | normal_frame: False | object_name: train 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [True],slot:indoor,values: [True]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [train 1],slot:object_name,values: [train 1]|| Risk of physical damage! The drone has a damaged frame and low battery. The drone is flying indoors at an altitude of 1m.     Risk of physical damage! There's a train in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: warning | normal_frame: 0.0   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]|| Risk of physical damage! The drone has a damaged frame. 
risk_of_physical_damage: warning | object_distance: 0.7 | object_distance: 0.7 | risk_of_human_damage: 1.0 | object_type: Human | object_inpath:true | object_distance: 0.7   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.7],slot:object_distance,values: [0.7]| act:INFORM,canonical_values: [0.7],slot:object_distance,values: [0.7]| act:INFORM,canonical_values: [1.0],slot:risk_of_human_damage,values: [1.0]| act:INFORM,canonical_values: [Human],slot:object_type,values: [Human]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [0.7],slot:object_distance,values: [0.7] || Risk of physical and human damage! There's a person in the drone's flight path at a distance of .7m. 
risk_of_physical_damage: warning | object_distance: 2 | altitude: 3.0 | battery_level: 20.0 | object_name: speed boat   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [3.0],slot:altitude,values: [3.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [speed boat],slot:object_name,values: [speed boat]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 3m.     Risk of physical damage! There's a speedboat only 2m away. 
risk_of_internal_damage,: 1.0 | weather: gloomy | waterproof_drone: False | risk_of_physical_damage: warning | object_distance: 2 | pilot_experienced: False | object_distance: 2 | object_distance: 2 | object_moving, values = true | object_distance: 2 | object_type: Drone | object_inpath:true | object_distance: 2 | indoor: True | altitude: 2.0 | battery_level: 0.0 | normal_frame: False | temperature: 7.0 | battery_level: 0.0 | object_name: drone   |   act:INFORM,canonical_values: [1.0],slot:risk_of_internal_damage,values: [1.0]| act:INFORM,canonical_values: [gloomy],slot:weather,values: [gloomy]| act:INFORM,canonical_values: [False],slot:waterproof_drone,values: [False]| act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [true],slot:object_moving,values: [true]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [Drone],slot:object_type,values: [Drone]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [True],slot:indoor,values: [True]| act:INFORM,canonical_values: [2.0],slot:altitude,values: [2.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [False],slot:normal_frame,values: [False]| act:INFORM,canonical_values: [7.0],slot:temperature,values: [7.0]| act:INFORM,canonical_values: [0.0],slot:battery_level,values: [0.0]| act:INFORM,canonical_values: [drone],slot:object_name,values: [drone]|| Risk of physical damage and internal damage! The drone has a damaged frame and empty battery. It's flying indoors in a low-temperature setting. It is flying at an altitude of 2m. The weather is overcast and the drone is not waterproof.     Risk of physical damage! There's a moving drone in the drone's flight path at a distance of 2m. 
risk_of_physical_damage: warning | object_distance: 1 | altitude: 2.0 | battery_level: 20.0 | normal_frame: 0.0 | object_inpath:true | object_distance: 5 | object_inpath:true | object_distance: 6 | object_name: tree 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [2.0],slot:altitude,values: [2.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [6],slot:object_distance,values: [6]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 2m.     Risk of physical damage! There are stairs in the drone's flight path at a distance of 5m. There's also a lamp in the drone's flight path at a distance of 6m. 
risk_of_internal_damage,: True | weather: gloomy | waterproof_drone: False | risk_of_physical_damage: informative | going_backwards: True   |   act:INFORM,canonical_values: [True],slot:risk_of_internal_damage,values: [True]| act:INFORM,canonical_values: [gloomy],slot:weather,values: [gloomy]| act:INFORM,canonical_values: [False],slot:waterproof_drone,values: [False]| act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [True],slot:going_backwards,values: [True]|| Risk of physical and internal damage! The drone is flying backwards. The weather is overcast and the drone is not waterproof. 

risk_of_physical_damage: warning | object_distance: 0.2 | pilot_experienced: 0.0 | object_distance: 0.2 | object_inpath:true | object_distance: 0.2 | normal_frame: 0.0 | object_name: sandy beach   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.2],slot:object_distance,values: [0.2]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [0.2],slot:object_distance,values: [0.2]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [0.2],slot:object_distance,values: [0.2]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [sandy beach],slot:object_name,values: [sandy beach]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a sandy beach in the drone's flight path at a distance of .2m. 
risk_of_physical_damage: warning | object_distance: 1 | object_distance: 1 | object_moving, values = true | object_inpath:true | object_distance: 1 | object_name: ride seat 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [true],slot:object_moving,values: [true]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [ride seat 1],slot:object_name,values: [ride seat 1] || Risk of physical damage! There's a moving ride seat in the drone's flight path at a distance of 1m. 
risk_of_physical_damage: warning | normal_frame: 0.0 | object_inpath:true | object_distance: 8 | object_name: truck   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [truck],slot:object_name,values: [truck]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a truck in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: informative | object_inpath:true | object_distance: 3 | object_name: tree 1   |   act:INFORM,canonical_values: [informative],slot:risk_of_physical_damage,values: [informative]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [tree 1],slot:object_name,values: [tree 1] || Risk of physical damage! There's a tree in the drone's flight path at a distance of 3m. 
risk_of_physical_damage: advisory | object_inpath:true | object_distance: 5 | altitude: 3.0 | battery_level: 20.0 | object_name: person standing in water   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [3.0],slot:altitude,values: [3.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [person standing in water],slot:object_name,values: [person standing in water]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 3m.     Risk of physical damage! There's a person standing in the water in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 5 | altitude: 1.0 | battery_level: 10.0 | object_name: ruin 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [5],slot:object_distance,values: [5]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [10.0],slot:battery_level,values: [10.0]| act:INFORM,canonical_values: [ruin 1],slot:object_name,values: [ruin 1]|| Risk of physical damage! The drone has an empty battery. It's flying at an altitude of 1m.     Risk of physical damage! There's a ruin in the drone's flight path at a distance of 5m. 
risk_of_physical_damage: warning | object_distance: 0 | pilot_experienced: False | object_distance: 0   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [0],slot:object_distance,values: [0]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [0],slot:object_distance,values: [0] || Risk of physical damage! The ground is 0m away. 
risk_of_physical_damage: warning | object_distance: 2 | pilot_experienced: 0.0 | object_distance: 2 | object_inpath:true | object_distance: 2 | object_name: industrial water tank 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [industrial water tank 1],slot:object_name,values: [industrial water tank 1] || Risk of physical damage! There's an industrial water tank in the drone's flight path at a distance of 2m.  
risk_of_physical_damage: warning | altitude: 5.0 | battery_level: 20.0 | normal_frame: 0.0 | object_distance: 2 | object_inpath:true | object_distance: 2 | object_name: gravestone    |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [gravestone:],slot:object_name,values: [gravestone:]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 5m.     Risk of physical damage! There's a gravestone in the drone's flight path at a distance of 2m. 
